age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
41.0,1,0,1,yes,no,,high school,,someone else,0,not too happy,routine
57.0,1,0,1,yes,,1452.0,high school,,self-employed,0,pretty happy,
50.0,0,1,0,yes,yes,59895.0,high school,,self-employed,0,pretty happy,exciting
75.0,0,1,0,yes,no,,high school,,someone else,0,not too happy,exciting
22.0,1,1,0,yes,,,lt high school,,someone else,0,not too happy,
27.0,0,0,1,yes,yes,13612.0,lt high school,,someone else,1,pretty happy,routine
55.0,0,0,1,yes,yes,72600.0,graduate,business administration,someone else,0,pretty happy,exciting
49.0,1,0,1,no,,,high school,,someone else,1,not too happy,
41.0,1,0,0,no,yes,,graduate,business administration,someone else,0,pretty happy,exciting
67.0,0,0,1,yes,yes,32670.0,high school,,someone else,0,pretty happy,routine
76.0,1,0,0,no,no,27225.0,graduate,health,someone else,1,not too happy,exciting
84.0,1,0,0,no,no,,bachelor,english,someone else,1,pretty happy,
46.0,0,1,0,yes,yes,3267.0,bachelor,other,someone else,1,pretty happy,exciting
25.0,0,0,0,no,,,high school,,someone else,0,very happy,
67.0,0,0,1,yes,yes,,graduate,liberal arts,someone else,0,pretty happy,routine
51.0,1,0,1,no,,,lt high school,,someone else,0,pretty happy,
39.0,1,0,0,no,no,11798.0,high school,,someone else,1,pretty happy,routine
51.0,1,0,1,no,no,11798.0,lt high school,,someone else,0,very happy,exciting
38.0,0,0,1,yes,,39930.0,junior college,sociology,someone else,0,very happy,
79.0,1,0,1,yes,yes,,high school,,someone else,1,very happy,exciting
55.0,0,0,1,yes,,72600.0,high school,,self-employed,0,pretty happy,
30.0,0,0,1,yes,,59895.0,bachelor,economics,someone else,0,very happy,
37.0,0,0,1,yes,yes,4719.0,bachelor,television/film,someone else,0,very happy,routine
67.0,1,0,1,yes,,15428.0,graduate,physics,self-employed,1,pretty happy,
81.0,1,0,1,yes,,,high school,,someone else,1,not too happy,
37.0,0,0,1,yes,,87120.0,high school,,someone else,0,very happy,
45.0,1,0,1,yes,no,,bachelor,marketing,someone else,0,very happy,exciting
76.0,1,0,1,yes,,,graduate,special education,someone else,0,very happy,
77.0,0,0,1,yes,no,23595.0,high school,,someone else,1,pretty happy,routine
41.0,0,0,1,yes,yes,87120.0,bachelor,engineering,someone else,0,very happy,routine
50.0,0,0,0,no,,15428.0,lt high school,,someone else,0,very happy,routine
25.0,0,0,0,yes,yes,17242.0,high school,,someone else,0,pretty happy,exciting
45.0,0,0,1,yes,yes,189211.0,graduate,business administration,someone else,0,very happy,exciting
21.0,0,0,1,yes,,,junior college,physical education,someone else,0,pretty happy,
25.0,0,0,0,no,no,39930.0,graduate,engineering,someone else,0,pretty happy,exciting
33.0,1,0,1,yes,no,23595.0,bachelor,television/film,someone else,1,pretty happy,exciting
72.0,0,0,1,yes,,,bachelor,computer science,someone else,0,pretty happy,
66.0,1,0,1,yes,no,,bachelor,health,someone else,0,very happy,exciting
81.0,0,0,1,yes,yes,,graduate,business administration,someone else,0,pretty happy,exciting
23.0,0,0,1,yes,,363.0,bachelor,marketing,someone else,0,pretty happy,
62.0,1,0,1,yes,no,8168.0,bachelor,business administration,someone else,0,pretty happy,exciting
43.0,0,0,1,yes,no,9982.0,high school,,someone else,0,pretty happy,routine
37.0,0,0,0,yes,,39930.0,high school,,someone else,1,pretty happy,
42.0,0,0,1,yes,,49005.0,high school,,someone else,0,very happy,
36.0,1,0,1,yes,no,,high school,,someone else,0,pretty happy,exciting
49.0,0,0,1,yes,,59895.0,junior college,accounting/bookkeeping,someone else,0,pretty happy,
35.0,1,0,1,yes,yes,,bachelor,physical education,self-employed,0,pretty happy,routine
47.0,0,0,1,yes,,,bachelor,business administration,someone else,0,pretty happy,
29.0,0,1,0,yes,,11798.0,bachelor,television/film,someone else,0,pretty happy,
19.0,0,1,0,yes,yes,,high school,,,1,not too happy,exciting
25.0,0,1,0,yes,,23595.0,high school,,someone else,0,pretty happy,
35.0,1,0,1,yes,no,59895.0,graduate,education,someone else,0,pretty happy,routine
20.0,0,0,1,yes,no,,high school,,someone else,0,pretty happy,exciting
42.0,0,0,1,yes,,13612.0,high school,,someone else,0,very happy,
58.0,1,0,1,no,,27225.0,junior college,nursing,someone else,0,not too happy,
44.0,0,0,1,no,no,49005.0,lt high school,,someone else,0,pretty happy,exciting
75.0,1,0,1,yes,,,graduate,art,someone else,1,very happy,
44.0,1,0,1,yes,,,graduate,health,someone else,0,very happy,exciting
37.0,0,0,1,yes,,,bachelor,business administration,someone else,0,very happy,
48.0,0,0,1,no,no,,high school,,self-employed,0,pretty happy,routine
59.0,0,0,1,yes,no,27225.0,bachelor,communications/speech,self-employed,0,very happy,exciting
61.0,1,0,1,yes,,27225.0,junior college,english,someone else,1,pretty happy,
47.0,1,0,1,no,no,,high school,,,1,pretty happy,exciting
38.0,0,1,0,yes,yes,59895.0,junior college,communications/speech,someone else,0,pretty happy,exciting
47.0,0,1,0,no,,,junior college,law,someone else,0,very happy,
28.0,0,0,1,yes,yes,32670.0,high school,,someone else,0,pretty happy,exciting
61.0,0,0,1,yes,,32670.0,bachelor,political science/international relations,self-employed,0,pretty happy,
