city_name,year,city_pop,robbery,police
sandiego,92,1151853.0,5321.0,2741.0
sandiego,93,,,
sanfran,71,706333.3,6584.0,2472.0
sanfran,72,683727.0,4573.0,2396.0
sanfran,73,677933.0,4817.0,2318.0
sanfran,74,677930.0,4436.0,2453.0
sanfran,75,669977.0,5687.0,2235.0
sanfran,76,665000.0,6628.0,2095.0
sanfran,77,676625.0,5423.0,2176.0
sanfran,78,658611.0,6509.0,1886.0
sanfran,79,659176.0,6694.0,2121.0
sanfran,80,674150.0,7527.0,2248.0
sanfran,81,692092.0,7386.0,2311.0
sanfran,82,708278.0,7153.0,2479.0
sanfran,83,721168.0,5945.0,2362.0
sanfran,84,719559.0,5222.0,2757.0
sanfran,85,733456.0,5111.0,2753.0
sanfran,86,750544.0,5085.0,2539.0
sanfran,87,767933.0,4654.0,2559.0
sanfran,88,753927.0,4867.0,2512.0
sanfran,89,750964.0,5005.0,2482.0
sanfran,90,723959.0,7053.0,2276.0
sanfran,91,739039.0,7020.0,2316.0
sanfran,92,750885.0,8278.0,2261.0
sanfran,93,,,
sanjose,71,481000.0,497.0,661.0
sanjose,72,495000.0,687.0,740.0
sanjose,73,523000.0,687.0,790.0
sanjose,74,524000.0,807.0,853.0
sanjose,75,549367.0,887.0,890.0
sanjose,76,557700.0,967.0,950.0
sanjose,77,568303.0,1031.0,959.0
sanjose,78,587621.0,1155.0,976.0
sanjose,79,604993.0,1358.0,1005.0
sanjose,80,628106.0,1714.0,1005.0
sanjose,81,644823.0,2070.0,1049.0
sanjose,82,659903.0,1701.0,1097.0
sanjose,83,671913.0,1461.0,1178.0
sanjose,84,685792.0,1175.0,1139.0
sanjose,85,706062.0,1237.0,1246.0
sanjose,86,722560.0,1126.0,1289.0
sanjose,87,730079.0,944.0,1224.0
sanjose,88,732022.0,948.0,1229.0
sanjose,89,757964.0,995.0,1284.0
sanjose,90,782248.0,1034.0,1469.0
sanjose,91,798542.0,1328.0,1635.0
sanjose,92,811342.0,1231.0,1581.0
sanjose,93,,,
